sig,route,type,frames,frame_share_pct,dominant_reason,period_bucket,min_gap_s,median_gap_s,max_gap_s,lengths_seen,vary_idx,first_start_us,last_start_us,first_data,last_data
AA 1F 15 B5 24 06 02 00,1F->15,B5,61570,39.199,sync_boundary,~1s,0.227,1.138,24.744,"13,17,21,22,23,24,25,26","8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,len",72437801955,168270945605,AA 1F 15 B5 24 06 02 00 00 00 9D 00 61 00 08 00 00 9D 00 FF FF FF 7F 54 00,AA 1F 15 B5 24 06 02 00 00 00 48 00 CA 00 06 01 00 48 00 01 00 C5 00
AA 10 76 B5 10 09 00 00,10->76,B5,9585,6.102,sync_boundary,~10s,1.324,9.997,20.526,"16,21","12,15,16,17,18,19,20,len",72439058539,168266576715,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00
AA 10 76 B5 11 01 01 16,10->76,B5,9583,6.101,sync_boundary,~10s,1.408,9.998,20.573,"9,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",72438180193,168265707662,AA 10 76 B5 11 01 01 16 00 09 FF 36 70 0C FF 42 00 01 FF 81 00,AA 10 76 B5 11 01 01 16 00 09 FF 3E 80 0A FF 3D 00 01 FF 33 00
AA 10 08 B5 11 01 01 89,10->08,B5,9579,6.098,sync_boundary,~10s,1.281,9.998,20.006,"8,9,21,22","8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",72437911200,168265440876,AA 10 08 B5 11 01 01 89 00 09 37 36 70 0C FF 42 00 00 39 1B 00,AA 10 08 B5 11 01 01 89 00 09 3E 3E 80 0A FF 3D 00 00 3E 1A 00
AA 10 08 B5 10 09 00 00,10->08,B5,9377,5.970,sync_boundary,~10s,1.333,9.997,2029.747,"16,17,21","8,12,15,16,17,18,19,20,len",72438719176,168266245209,AA 10 08 B5 10 09 00 00 3D FF FF FF 06 00 00 26 00 01 01 9A 00,AA 10 08 B5 10 09 00 00 41 FF FF FF 06 00 00 41 00 01 01 9A 00
AA 1F 08 B5 1A 04 05 FF,1F->08,B5,7407,4.716,sync_boundary,~2s,0.646,2.610,66.657,"12,24,25","9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,len",72435522240,168249212239,AA 1F 08 B5 1A 04 05 FF 32 24 BD 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00,AA 1F 08 B5 1A 04 05 FF 32 23 BA 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00
AA 10 76 B5 12 03 0F 02,10->76,B5,6703,4.267,sync_boundary,~10s,1.801,9.998,28816.134,"11,21,22","11,12,13,14,15,16,17,18,19,20,21,len",72438447370,168265974436,AA 10 76 B5 12 03 0F 02 01 51 00 07 14 02 00 00 80 16 03 50 00,AA 10 76 B5 12 03 0F 02 01 51 00 07 EB 01 00 00 80 16 03 74 00
AA 1F 08 B5 11 01 01 40,1F->08,B5,3757,2.392,sync_boundary,~24s,1.199,24.262,75.740,"9,20,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",72452612296,168265174112,AA 1F 08 B5 11 01 01 40 00 09 37 36 70 0C FF 42 00 00 39 1B 00,AA 1F 08 B5 11 01 01 40 00 09 3E 3E 80 0A FF 3D 00 00 3E 1A 00
AA 1F 08 B5 03 02 00 01,1F->08,B5,3686,2.347,sync_boundary,~24s,0.637,24.258,87.093,"10,22,23","10,11,12,13,14,15,16,17,18,19,20,21,22,len",72450356944,168262919451,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00
AA 1F 08 B5 11 01 00 41,1F->08,B5,3683,2.345,sync_boundary,~24s,0.629,24.258,87.089,"18,20,21,22","10,11,12,13,14,15,16,17,18,19,20,21,len",72451487077,168264051256,AA 1F 08 B5 11 01 00 41 00 09 B9 01 16 00 00 08 00 01 00 6E 00,AA 1F 08 B5 11 01 00 41 00 09 F5 01 17 00 00 08 00 01 00 B0 00
